"rodada","mandante","gols.mandante","gols.visitante","visitante","estadio","data","hora"
24,"Grêmio - RS","4","0","Vasco da Gama - RJ","Arena do Grêmio - RS","06/12/2020","16:00"
24,"São Paulo - SP","1","0","Sport - PE","Morumbi - SP","06/12/2020","16:00"
24,"Atlético - MG","2","2","Internacional - RS","Mineirão - MG","06/12/2020","18:15"
24,"Atlético - GO","0","1","Goiás - GO","Antônio Accioly - GO","07/12/2020","20:00"
25,"Red Bull Bragantino - SP","2","1","Fortaleza - CE","Nabi Abi Chedid - SP","12/12/2020","17:00"
25,"Athletico Paranaense - PR","0","1","Atlético - MG","Arena da Baixada - PR","12/12/2020","17:00"
25,"Palmeiras - SP","3","0","Bahia - BA","Allianz Parque - SP","12/12/2020","19:00"
25,"Internacional - RS","2","1","Botafogo - RJ","Beira-Rio - RS","12/12/2020","19:00"
25,"Ceará - CE","1","2","Atlético - GO","Arena Castelão - CE","12/12/2020","21:00"
25,"Goiás - GO","0","0","Grêmio - RS","Hailé Pinheiro - GO","12/12/2020","21:00"
25,"Flamengo - RJ","4","1","Santos - SP","Maracanã - RJ","13/12/2020","16:00"
25,"Corinthians - SP","1","0","São Paulo - SP","Neo Química Arena - SP","13/12/2020","18:15"
25,"Sport - PE","1","0","Coritiba - PR","Ilha do Retiro - PE","13/12/2020","18:15"
25,"Vasco da Gama - RJ","1","1","Fluminense - RJ","São Januário - RJ","13/12/2020","20:30"
26,"São Paulo - SP","3","0","Atlético - MG","Morumbi - SP","16/12/2020","21:30"
26,"Atlético - GO","2","1","Fluminense - RJ","Antônio Accioly - GO","16/12/2020","21:30"
26,"Sport - PE","1","1","Grêmio - RS","Ilha do Retiro - PE","19/12/2020","19:00"
26,"Internacional - RS","2","0","Palmeiras - SP","Beira-Rio - RS","19/12/2020","21:00"
26,"Coritiba - PR","1","2","Botafogo - RJ","Couto Pereira - PR","19/12/2020","21:00"
26,"Red Bull Bragantino - SP","0","1","Athletico Paranaense - PR","Nabi Abi Chedid - SP","20/12/2020","16:00"
26,"Vasco da Gama - RJ","1","0","Santos - SP","São Januário - RJ","20/12/2020","16:00"
26,"Flamengo - RJ","4","3","Bahia - BA","Maracanã - RJ","20/12/2020","18:15"
26,"Fortaleza - CE","0","2","Ceará - CE","Arena Castelão - CE","20/12/2020","20:30"
26,"Corinthians - SP","2","1","Goiás - GO","Neo Química Arena - SP","21/12/2020","20:00"
27,"Atlético - MG","2","0","Coritiba - PR","Mineirão - MG","26/12/2020","17:00"
27,"Fortaleza - CE","0","0","Flamengo - RJ","Arena Castelão - CE","26/12/2020","19:00"
27,"Goiás - GO","1","0","Sport - PE","Hailé Pinheiro - GO","26/12/2020","19:00"
27,"Fluminense - RJ","1","2","São Paulo - SP","Maracanã - RJ","26/12/2020","21:00"
27,"Botafogo - RJ","0","2","Corinthians - SP","Nilton Santos - RJ","27/12/2020","16:00"
27,"Bahia - BA","1","2","Internacional - RS","Arena Fonte Nova - BA","27/12/2020","16:00"
27,"Palmeiras - SP","1","0","Red Bull Bragantino - SP","Allianz Parque - SP","27/12/2020","18:15"
27,"Santos - SP","1","1","Ceará - CE","Vila Belmiro - SP","27/12/2020","18:15"
27,"Athletico Paranaense - PR","3","0","Vasco da Gama - RJ","Arena da Baixada - PR","27/12/2020","18:15"
27,"Grêmio - RS","2","1","Atlético - GO","Arena do Grêmio - RS","27/12/2020","20:30"
28,"Botafogo - RJ","0","2","Athletico Paranaense - PR","Nilton Santos - RJ","06/01/2021","19:15"
28,"Grêmio - RS","2","1","Bahia - BA","Arena do Grêmio - RS","06/01/2021","19:15"
28,"Coritiba - PR","1","2","Goiás - GO","Couto Pereira - PR","06/01/2021","20:30"
28,"Sport - PE","1","0","Fortaleza - CE","Ilha do Retiro - PE","06/01/2021","20:30"
28,"Flamengo - RJ","1","2","Fluminense - RJ","Maracanã - RJ","06/01/2021","21:30"
28,"Red Bull Bragantino - SP","4","2","São Paulo - SP","Nabi Abi Chedid - SP","06/01/2021","21:30"
28,"Ceará - CE","0","2","Internacional - RS","Arena Castelão - CE","07/01/2021","19:00"
28,"Atlético - GO","0","0","Vasco da Gama - RJ","Antônio Accioly - GO","07/01/2021","21:00"
28,"Palmeiras - SP","4","0","Corinthians - SP","Allianz Parque - SP","18/01/2021","19:00"
